,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
476,Mehamn,NO,71.04,27.85,48.76,81,71,10.45,broken clouds
477,Salinopolis,BR,-0.61,-47.36,80.29,79,9,15.21,clear sky
478,Dali,CN,25.7,100.18,62.64,87,100,2.39,light rain
479,Chabahar,IR,25.29,60.64,82.4,83,28,4.36,mist
480,Maldonado,UY,-34.67,-54.92,53.6,81,75,18.34,broken clouds
481,Praia,CV,14.92,-23.51,78.8,94,20,2.24,few clouds
482,Leicester,GB,52.64,-1.13,52.0,64,49,4.0,scattered clouds
483,Bad Kreuznach,DE,49.83,7.87,57.99,82,90,1.95,overcast clouds
484,Bennington,US,42.88,-73.2,71.6,88,75,5.82,heavy intensity rain
485,Damghan,IR,36.17,54.35,63.97,52,0,4.45,clear sky
486,Nargana,PA,9.44,-78.59,82.24,84,44,8.03,scattered clouds
487,Thinadhoo,MV,0.53,72.93,82.85,71,86,8.61,overcast clouds
488,Manzil Salim,TN,35.86,8.48,82.4,21,20,10.29,few clouds
489,Aksha,RU,50.28,113.29,52.34,91,100,0.96,light rain
490,Lgov,RU,51.63,35.28,59.81,76,52,8.86,broken clouds
491,Sola,VU,-13.88,167.55,79.21,85,68,23.29,broken clouds
492,Pietersburg,ZA,-23.9,29.47,68.0,42,40,3.36,scattered clouds
493,Vostok,RU,46.49,135.88,49.46,97,100,4.03,light rain
494,Saint-Joseph,RE,-21.37,55.62,68.0,82,20,8.05,few clouds
495,Rawson,AR,-43.3,-65.1,45.52,52,0,10.83,clear sky
496,Mbarara,UG,-0.61,30.65,65.19,83,64,4.25,broken clouds
497,Swellendam,ZA,-34.02,20.44,42.8,93,99,2.24,light rain
498,Kavieng,PG,-2.57,150.8,83.98,73,38,12.59,scattered clouds
499,Kaitangata,NZ,-46.28,169.85,59.0,56,21,14.0,few clouds
500,Heilbron,ZA,-27.28,27.97,42.13,57,9,5.68,clear sky
501,Koulamoutou,GA,-1.13,12.47,71.76,94,100,2.19,overcast clouds
502,Soyo,AO,-6.13,12.37,71.8,84,96,7.54,overcast clouds
503,Ouro Preto Do Oeste,BR,-10.75,-62.22,86.95,40,82,4.34,broken clouds
504,Korla,CN,41.76,86.15,72.0,66,0,3.0,clear sky
505,Praia Da Vitoria,PT,38.73,-27.07,75.2,88,20,8.37,few clouds
506,Yangambi,CD,0.81,24.43,70.21,97,100,1.63,overcast clouds
507,San Ramon,US,37.78,-121.98,87.8,31,1,9.17,smoke
508,Kodigenahalli,IN,13.72,77.39,71.6,100,40,9.17,scattered clouds
509,Oliver,CA,49.18,-119.55,77.0,27,40,18.34,scattered clouds
510,Marsh Harbour,BS,26.54,-77.06,84.33,70,100,3.13,overcast clouds
511,Nantucket,US,41.28,-70.1,71.6,94,90,14.99,mist
512,Kruisfontein,ZA,-34.0,24.73,46.99,78,59,3.0,broken clouds
513,Nijar,ES,36.97,-2.21,73.4,60,0,8.05,clear sky
514,Nokaneng,BW,-19.67,22.27,65.93,26,31,7.65,scattered clouds
515,Odweyne,SO,9.41,45.06,77.2,52,77,13.82,broken clouds
516,Fraserburgh,GB,57.69,-2.02,52.0,71,97,17.0,overcast clouds
517,Smidovich,RU,48.6,133.82,52.07,87,100,8.86,light rain
518,Mitsamiouli,KM,-11.38,43.28,75.4,71,0,10.4,clear sky
519,Morondava,MG,-20.28,44.28,72.88,87,0,4.52,clear sky
520,Manyana,BW,-23.4,21.72,46.78,51,13,12.71,few clouds
521,Nichinan,JP,31.6,131.37,80.6,83,75,6.93,broken clouds
522,Moyale,KE,3.52,39.06,67.87,73,27,10.11,scattered clouds
523,Port Hedland,AU,-20.32,118.57,68.0,45,0,9.17,clear sky
524,Panzhihua,CN,26.59,101.71,71.31,78,99,0.89,overcast clouds
525,Boueni,YT,-12.9,45.08,75.2,78,0,6.93,clear sky
526,Rosarito,MX,32.33,-117.03,77.0,60,1,6.93,clear sky
527,Nusaybin,TR,37.08,41.22,87.21,13,0,10.2,clear sky
528,Karasuk,RU,53.74,78.04,58.95,86,0,6.31,clear sky
529,Mocajuba,BR,-2.58,-49.51,80.83,71,50,3.8,scattered clouds
530,Butembo,CD,0.15,29.28,58.19,100,100,1.19,light rain
531,Maroantsetra,MG,-15.43,49.73,71.02,85,89,6.98,light rain
532,Waw,SS,7.7,28.0,72.16,91,98,3.4,overcast clouds
533,Goma,CD,-1.68,29.22,65.01,76,97,3.87,light rain
534,Durant,US,33.99,-96.37,104.0,31,1,5.82,clear sky
535,Thanh Hoa,VN,19.8,105.77,78.73,94,100,1.77,overcast clouds
536,Mugur-Aksy,RU,50.35,90.5,37.74,82,21,4.38,few clouds
537,Gamba,GA,-2.65,10.0,73.42,88,100,7.94,light rain
538,Jieshi,CN,22.81,115.83,81.55,80,92,8.03,overcast clouds
539,Lyaskelya,RU,61.77,31.02,49.6,93,51,4.32,broken clouds
540,Atherton,GB,53.52,-2.49,50.0,72,28,4.0,scattered clouds
541,Changji,CN,44.02,87.32,59.0,72,0,4.47,clear sky
542,Gunjur,GM,13.2,-16.73,78.8,94,75,8.72,broken clouds
543,Neuquen,AR,-38.95,-68.06,51.8,23,0,6.93,clear sky
544,Daru,PG,-9.08,143.21,78.94,85,97,17.6,overcast clouds
545,Khotkovo,RU,56.26,38.0,57.2,76,97,4.47,overcast clouds
546,Neiafu,TO,-18.65,-173.98,80.6,69,20,18.34,few clouds
547,Taoudenni,ML,22.68,-3.98,96.94,38,52,18.19,broken clouds
548,Hays,US,30.05,-98.03,102.0,31,0,4.0,clear sky
549,Lethem,GY,3.38,-59.8,77.41,79,100,1.14,overcast clouds
550,Ust-Tsilma,RU,65.44,52.15,46.33,89,24,5.86,few clouds
551,Barcelos,PT,41.54,-8.62,63.0,77,0,5.82,clear sky
552,Raduzhnyy,RU,62.1,77.47,52.84,92,11,0.76,few clouds
553,Todos Santos,MX,23.45,-110.22,81.0,83,100,10.0,overcast clouds
554,Riyadh,SA,24.69,46.72,86.0,19,49,5.82,scattered clouds
555,Morwell,AU,-38.23,146.4,46.0,87,84,1.01,broken clouds
556,Marzuq,YE,14.4,46.47,82.44,44,23,2.19,few clouds
557,Mamakan,RU,57.82,114.0,57.4,82,100,0.65,overcast clouds
558,Hovd,MN,48.01,91.64,50.41,67,83,5.08,broken clouds
559,Vanimo,PG,-2.67,141.3,81.19,71,58,3.31,broken clouds
560,Ozinki,RU,51.18,49.68,63.55,64,0,7.34,clear sky
561,Yoichi,JP,43.2,140.77,60.8,100,75,12.75,shower rain
562,Biak,ID,-0.91,122.88,76.91,78,100,9.26,overcast clouds
563,Shelburne,CA,44.08,-80.2,66.2,68,75,11.41,broken clouds
564,Guamuchil,MX,25.47,-108.1,91.0,66,57,8.01,light rain
565,Birobidzhan,RU,48.8,132.95,50.56,93,100,10.07,moderate rain
566,Evensk,RU,61.95,159.23,55.96,54,67,9.71,broken clouds
567,Tenango,MX,18.65,-98.18,72.0,53,75,14.99,broken clouds
568,Coihaique,CL,-45.58,-72.07,41.0,65,75,9.17,broken clouds
569,Muscle Shoals,US,34.74,-87.67,89.6,62,40,9.17,scattered clouds
570,Ust-Nera,RU,64.57,143.2,50.85,46,66,4.97,broken clouds
571,Lagoa,PT,39.05,-27.98,74.14,94,100,6.49,overcast clouds
572,Dumas,US,35.87,-101.97,86.0,37,1,3.36,clear sky
573,Apiai,BR,-24.51,-48.84,63.5,72,0,3.13,clear sky
574,Kupang,ID,-10.17,123.58,75.2,78,20,11.41,few clouds
575,Maputo,MZ,-25.97,32.59,69.01,88,75,10.29,broken clouds
576,Arlit,NE,18.74,7.39,90.64,43,40,11.61,scattered clouds
577,Merauke,ID,-8.47,140.33,78.35,84,52,15.66,broken clouds
578,Ulaangom,MN,49.98,92.07,51.35,64,91,1.95,overcast clouds
579,Lebork,PL,54.54,17.75,55.4,100,92,1.12,overcast clouds
580,Athens,GR,37.98,23.72,80.01,57,0,3.36,clear sky
581,Yuxia,CN,34.06,108.63,68.0,88,26,6.71,scattered clouds
582,Manado,ID,1.49,124.85,75.2,88,20,3.8,few clouds
583,Muros,ES,42.78,-9.06,55.99,86,0,1.01,clear sky
584,Novoagansk,RU,61.94,76.66,53.35,91,25,2.37,scattered clouds
585,Cesis,LV,57.31,25.27,59.0,96,89,4.0,overcast clouds
586,Dayong,CN,25.02,118.29,82.4,88,75,2.24,broken clouds
587,Upington,ZA,-28.45,21.26,42.8,78,0,8.05,clear sky
588,Balabac,PH,7.99,117.06,81.91,75,100,3.0,overcast clouds
589,Port Moresby,PG,-9.44,147.18,80.37,69,38,1.72,scattered clouds
590,Camopi,GF,3.17,-52.32,75.16,92,85,4.03,overcast clouds
591,Beaufort,MY,5.35,115.75,75.2,100,20,1.12,few clouds
592,Artsyz,UA,45.99,29.42,67.35,90,0,6.42,clear sky
593,Campo Largo,BR,-25.46,-49.53,73.4,53,0,3.36,clear sky
594,Saginaw,US,43.33,-84.03,72.0,49,75,12.75,broken clouds
595,Tynda,RU,55.17,124.72,48.31,82,92,1.41,overcast clouds
596,Berlin,DE,52.52,13.41,66.0,82,100,2.24,overcast clouds
597,Cukai,MY,4.25,103.42,77.0,88,69,2.24,broken clouds
598,Kaihua,CN,23.37,104.28,64.13,93,69,3.04,broken clouds
599,Weymouth,US,42.22,-70.94,75.99,88,100,13.87,overcast clouds
600,Young,UY,-32.68,-57.63,55.99,84,91,1.99,overcast clouds
601,Vigo,ES,42.23,-8.72,64.99,76,0,8.05,clear sky
602,Laizhou,CN,37.18,119.93,72.0,85,0,4.27,clear sky
603,Geilo,NO,60.53,8.21,41.0,88,8,3.27,clear sky
604,Barcelona,ES,41.39,2.16,68.0,82,40,5.82,scattered clouds
605,George,ZA,-33.96,22.46,42.8,87,33,14.99,light rain
606,Makakilo City,US,21.35,-158.09,89.6,43,1,11.41,clear sky
607,Te Anau,NZ,-45.42,167.72,50.4,78,100,7.76,overcast clouds
608,Baruun-Urt,MN,46.68,113.28,52.77,95,100,14.05,moderate rain
609,Copiapo,CL,-27.37,-70.33,57.2,67,22,16.11,few clouds
610,Talas,TR,38.69,35.55,64.4,31,0,8.05,clear sky
611,La Ronge,CA,55.1,-105.28,68.0,56,90,12.75,overcast clouds
612,Xining,CN,36.62,101.77,48.83,85,100,1.36,light rain
613,Novochernorechenskiy,RU,56.27,91.08,50.74,88,98,5.59,overcast clouds
614,Senno,RU,59.53,33.92,50.0,93,100,3.76,overcast clouds
615,Taloqan,AF,36.74,69.53,63.57,40,0,3.42,clear sky
616,Kenai,US,60.55,-151.26,62.6,51,1,9.17,clear sky
617,Gazli,UZ,40.13,63.45,70.97,25,0,8.99,clear sky
618,Waingapu,ID,-9.66,120.26,73.6,77,5,8.66,clear sky
619,Namibe,AO,-15.2,12.15,60.96,69,0,2.17,clear sky
620,Skjervoy,NO,70.03,20.97,48.02,71,78,3.47,broken clouds
621,Charters Towers,AU,-20.1,146.27,67.84,63,16,18.5,few clouds
622,Elliot Lake,CA,46.38,-82.63,62.6,82,75,21.92,broken clouds
623,Cockburn Town,TC,21.46,-71.14,84.2,74,40,4.7,scattered clouds
624,Nadym,RU,65.53,72.52,41.94,86,100,7.63,overcast clouds
625,Madang,PG,-5.22,145.8,81.57,76,11,2.35,few clouds
626,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,81.91,47,96,13.09,overcast clouds
627,Gushikawa,JP,26.35,127.87,82.4,88,1,9.17,clear sky
628,Fuerte Olimpo,PY,-21.04,-57.87,84.34,22,0,4.32,clear sky
629,Maine-Soroa,NE,13.21,12.02,78.66,64,100,3.29,overcast clouds
630,Dutse,NG,11.76,9.34,72.54,90,98,7.7,moderate rain
631,Tilichiki,RU,60.47,166.1,50.2,67,82,8.86,broken clouds
632,Micheweni,TZ,-4.97,39.83,73.56,83,16,8.28,few clouds
633,Kyzyl,RU,51.7,94.45,50.4,83,100,4.14,overcast clouds
634,Cagliari,IT,39.24,9.09,80.6,69,0,5.82,clear sky
635,Poronaysk,RU,49.22,143.12,55.06,71,100,4.92,overcast clouds
636,Colquechaca,BO,-18.67,-66.02,45.82,54,7,4.79,clear sky
637,Mayumba,GA,-3.43,10.66,73.58,88,100,9.64,light rain
638,Progreso,MX,21.28,-89.67,97.0,50,75,92.16,broken clouds
639,Ossora,RU,59.24,163.07,55.92,59,59,9.69,broken clouds
640,Isabela,PH,6.71,121.97,77.0,94,90,2.66,overcast clouds
641,Urucui,BR,-7.23,-44.56,83.08,33,4,5.21,clear sky
642,Key Largo,US,25.09,-80.45,86.0,1,100,3.0,overcast clouds
643,Lata,PT,40.16,-8.33,63.0,79,0,0.6,clear sky
644,Ariquemes,BR,-9.91,-63.04,83.55,54,81,2.04,broken clouds
645,Karanpura,IN,29.1,75.09,87.04,61,0,9.06,clear sky
646,Melfi,IT,41.0,15.65,79.0,69,5,4.7,clear sky
647,Nacogdoches,US,31.6,-94.63,93.99,56,1,6.93,clear sky
648,Valdosta,US,30.83,-83.28,81.0,83,40,6.93,scattered clouds
649,Bose,IT,45.46,8.01,66.0,98,98,1.01,light rain
650,Guilin,CN,25.28,110.29,75.2,94,20,2.24,few clouds
651,Thaba-Tseka,LS,-29.52,28.61,31.46,81,0,3.29,clear sky
652,Huarmey,PE,-10.07,-78.15,63.14,78,4,10.54,clear sky
653,Charleville-Mezieres,FR,49.77,4.72,54.0,93,9,5.82,clear sky
654,Slave Lake,CA,55.28,-114.77,60.8,48,75,18.34,broken clouds
655,Matai,TZ,-8.3,31.52,59.74,39,0,4.65,clear sky
656,Zapolyarnyy,RU,69.42,30.81,50.0,71,58,17.22,broken clouds
657,Barranca,PE,-10.75,-77.77,60.98,85,17,10.29,few clouds
658,Soe,ID,-9.86,124.28,64.56,78,72,5.12,broken clouds
659,Guataqui,CO,4.52,-74.79,82.89,64,13,2.71,light rain
660,Kitimat,CA,54.05,-128.65,57.2,82,75,5.82,broken clouds
661,Treinta Y Tres,UY,-33.23,-54.38,54.61,78,99,12.57,overcast clouds
662,Chumikan,RU,54.72,135.31,55.89,59,11,6.78,few clouds
663,Douglas,US,41.3,-96.17,82.4,28,1,3.78,clear sky
664,Borgarnes,IS,64.54,-21.92,53.6,81,90,10.29,overcast clouds
665,Moussoro,TD,13.64,16.49,75.94,74,97,5.39,overcast clouds
666,Bonavista,CA,48.65,-53.11,60.01,78,53,11.01,broken clouds
667,Novosergiyevka,RU,52.09,53.65,65.61,65,87,9.15,light rain
668,Quatre Cocos,MU,-20.21,57.76,70.0,77,75,14.99,broken clouds
669,West Bay,KY,19.37,-81.42,89.6,70,20,8.05,few clouds
670,Kieta,PG,-6.22,155.63,85.05,68,3,7.2,clear sky
671,Khapa,IN,21.43,78.97,73.4,100,90,5.82,mist
672,Sinnamary,GF,5.38,-52.95,79.79,85,100,11.68,light rain
673,Dzhebariki-Khaya,RU,62.22,135.8,54.3,45,100,3.27,overcast clouds
674,Poletayevo,RU,55.03,61.11,62.6,93,40,4.47,mist
675,Havoysund,NO,71.0,24.66,42.8,93,59,10.29,broken clouds
676,Skibbereen,IE,51.55,-9.27,50.0,76,75,5.82,broken clouds
677,Launceston,AU,-41.45,147.17,60.01,71,51,21.92,broken clouds
678,Maragogi,BR,-9.01,-35.22,74.82,84,32,11.65,light rain
679,Metro,ID,-5.11,105.31,73.76,86,77,3.31,broken clouds
680,Casma,CL,-41.01,-73.12,46.4,75,40,4.7,scattered clouds
681,Fuyu,CN,45.18,124.82,61.65,89,50,6.58,scattered clouds
682,Bonthe,SL,7.53,-12.51,76.3,88,100,10.18,moderate rain
683,Tadine,NC,-21.55,167.88,69.22,67,69,19.64,broken clouds
684,Wangou,CN,42.06,126.91,65.3,94,6,0.4,clear sky
685,Turkistan,KZ,43.0,68.0,72.91,32,0,16.91,clear sky
686,Nam Som,TH,17.77,102.19,75.25,93,98,2.01,overcast clouds
687,Qasigiannguit,GL,68.82,-51.19,46.4,61,40,6.93,scattered clouds
688,Severodvinsk,RU,64.56,39.83,55.4,93,90,4.47,overcast clouds
689,Udachnyy,RU,66.42,112.4,48.2,61,90,2.24,haze
690,Camana,PE,-16.62,-72.71,60.33,81,93,8.93,overcast clouds
691,Rabaul,PG,-4.2,152.17,84.06,70,32,15.97,scattered clouds
692,Chiman,PK,32.55,73.81,80.6,83,0,4.07,smoke
693,Hambantota,LK,6.12,81.12,80.01,79,100,16.08,overcast clouds
694,Galesong,ID,-5.32,119.37,73.4,88,20,1.12,few clouds
695,Miracema Do Tocantins,BR,-9.56,-48.4,82.38,24,0,3.47,clear sky
696,Atbasar,KZ,51.8,68.33,63.95,59,40,4.94,scattered clouds
697,Waipawa,NZ,-41.41,175.52,59.0,58,13,24.16,few clouds
698,Port Hardy,CA,50.7,-127.42,62.6,63,75,14.99,broken clouds
699,Juneau,US,58.3,-134.42,60.01,71,90,5.82,overcast clouds
700,Flagstaff,US,35.2,-111.65,79.0,27,20,18.34,few clouds
701,Miraflores,MX,19.22,-98.81,73.4,43,40,6.93,scattered clouds
702,Robertsport,LR,6.75,-11.37,76.33,87,100,13.91,moderate rain
703,Kochi,IN,9.94,76.26,78.8,94,75,4.7,mist
704,Ugoofaaru,MV,5.67,73.0,82.72,67,100,4.43,overcast clouds
705,Platteville,US,42.73,-90.48,77.0,41,1,10.29,clear sky
706,Palau,PW,7.5,134.62,83.34,76,78,9.1,light rain
707,Pangnirtung,CA,66.15,-65.71,54.41,42,40,1.61,scattered clouds
708,Cosala,MX,24.41,-106.69,86.0,78,75,10.0,moderate rain
709,Mujiayingzi,CN,42.12,118.78,68.05,81,91,1.59,overcast clouds
710,Rucheng,CN,32.39,120.56,84.0,65,12,5.84,few clouds
711,Negombo,LK,7.21,79.84,82.4,78,20,9.17,few clouds
712,Hofn,IS,64.25,-15.21,50.32,75,97,1.68,overcast clouds
713,Arman,RU,59.7,150.17,53.8,51,0,9.51,clear sky
714,Kendallville,US,41.44,-85.27,73.4,56,1,5.82,clear sky
715,Susanville,US,40.42,-120.65,95.0,9,1,9.17,clear sky
716,Jacareacanga,BR,-6.22,-57.75,83.55,56,83,2.26,broken clouds
717,Dunmore Town,BS,25.5,-76.65,84.58,66,51,4.14,broken clouds
